"table","field","value"
"EKES","MANDT","MANDT"
"EKES","EBELN","EBELN"
"EKES","EBELP","EBELP"
"EKES","ETENS","ETENS"
"EKES","EBTYP","EBTYP"
"EKES","EINDT","EINDT"
"EKES","LPEIN","LPEIN"
"EKES","UZEIT","UZEIT"
"EKES","ERDAT","ERDAT"
"EKES","EZEIT","EZEIT"
"EKES","MENGE","MENGE"
"EKES","DABMG","DABMG"
"EKES","ESTKZ","Manual"
"EKES","ESTKZ","Shipping Notification"
"EKES","ESTKZ","EDI"
"EKES","ESTKZ","Return Delivery"
"EKES","LOEKZ","LOEKZ"
"EKES","KZDIS","Yes"
"EKES","KZDIS","No"
"EKES","XBLNR","XBLNR"
"EKES","VBELN","VBELN"
"EKES","VBELP","VBELP"
"EKES","MPROF","MPROF"
"EKES","EMATN","EMATN"
"EKES","MAHNZ","MAHNZ"
"EKES","CHARG","CHARG"
"EKES","UECHA","UECHA"
"EKES","REF_ETENS","REF_ETENS"
"EKES","IMWRK","Yes"
"EKES","IMWRK","No"
"EKES","VBELN_ST","VBELN_ST"
"EKES","VBELP_ST","VBELP_ST"
"EKES","/CWM/MENGE","/CWM/MENGE"
"EKES","/CWM/DABMG","/CWM/DABMG"
"MARD","MANDT","MANDT"
"MARD","MATNR","MATNR"
"MARD","WERKS","WERKS"
"MARD","LGORT","LGORT"
"MARD","PSTAT","PSTAT"
"MARD","LVORM","Yes"
"MARD","LVORM","No"
"MARD","LFGJA","LFGJA"
"MARD","LFMON","LFMON"
"MARD","SPERR","No physical inventory defined for material"
"MARD","SPERR","Due to phys. inv., material is blocked for movements"
"MARD","SPERR","Physical inventory not yet completed for material"
"MARD","LABST","LABST"
"MARD","UMLME","UMLME"
"MARD","INSME","INSME"
"MARD","EINME","EINME"
"MARD","SPEME","SPEME"
"MARD","RETME","RETME"
"MARD","VMLAB","VMLAB"
"MARD","VMUML","VMUML"
"MARD","VMINS","VMINS"
"MARD","VMEIN","VMEIN"
"MARD","VMSPE","VMSPE"
"MARD","VMRET","VMRET"
"MARD","KZILL","KZILL"
"MARD","KZILQ","KZILQ"
"MARD","KZILE","KZILE"
"MARD","KZILS","KZILS"
"MARD","KZVLL","KZVLL"
"MARD","KZVLQ","KZVLQ"
"MARD","KZVLE","KZVLE"
"MARD","KZVLS","KZVLS"
"MARD","DISKZ","Storage location stock also planned at plant level"
"MARD","DISKZ","Storage location stock excluded from MRP"
"MARD","DISKZ","Storage location stock planned separately"
"MARD","LSOBS","LSOBS"
"MARD","LMINB","LMINB"
"MARD","LBSTF","LBSTF"
"MARD","HERKL","HERKL"
"MARD","EXPPG","EXPPG"
"MARD","EXVER","EXVER"
"MARD","LGPBE","LGPBE"
"MARD","KLABS","KLABS"
"MARD","KINSM","KINSM"
"MARD","KEINM","KEINM"
"MARD","KSPEM","KSPEM"
"MARD","DLINL","DLINL"
"MARD","PRCTL","PRCTL"
"MARD","ERSDA","ERSDA"
"MARD","VKLAB","VKLAB"
"MARD","VKUML","VKUML"
"MARD","LWMKB","LWMKB"
"MARD","BSKRF","BSKRF"
"MARD","MDRUE","Yes"
"MARD","MDRUE","No"
"MARD","MDJIN","MDJIN"
"BNKA","MANDT","MANDT"
"BNKA","BANKS","BANKS"
"BNKA","BANKL","BANKL"
"BNKA","ERDAT","ERDAT"
"BNKA","ERNAM","ERNAM"
"BNKA","BANKA","BANKA"
"BNKA","PROVZ","PROVZ"
"BNKA","STRAS","STRAS"
"BNKA","ORT01","ORT01"
"BNKA","SWIFT","SWIFT"
"BNKA","BGRUP","BGRUP"
"BNKA","XPGRO","Yes"
"BNKA","XPGRO","No"
"BNKA","LOEVM","Yes"
"BNKA","LOEVM","No"
"BNKA","BNKLZ","BNKLZ"
"BNKA","PSKTO","PSKTO"
"BNKA","ADRNR","ADRNR"
"BNKA","BRNCH","BRNCH"
"BNKA","CHKME","CHKME"
"BNKA","VERS","VERS"
"BNKA","BICKY","BICKY"
"BNKA","RCCODE","RCCODE"
"WYT3","MANDT","MANDT"
"WYT3","LIFNR","LIFNR"
"WYT3","EKORG","EKORG"
"WYT3","LTSNR","LTSNR"
"WYT3","WERKS","WERKS"
"WYT3","PARVW","PARVW"
"WYT3","PARZA","PARZA"
"WYT3","ERNAM","ERNAM"
"WYT3","ERDAT","ERDAT"
"WYT3","LIFN2","LIFN2"
"WYT3","DEFPA","Yes"
"WYT3","DEFPA","No"
"WYT3","PERNR","PERNR"
"WYT3","PARNR","PARNR"
"DMS_LODESC_CD1","MANDT","MANDT"
"DMS_LODESC_CD1","LANGU","LANGU"
"DMS_LODESC_CD1","LOIO_ID","LOIO_ID"
"DMS_LODESC_CD1","LO_CLASS","LO_CLASS"
"DMS_LODESC_CD1","DESCRIPT","DESCRIPT"
